Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,194.190002,195.149994,193.320007,194.610001,190.044479,2418000
2019-05-03,195.339996,197.970001,194.750000,197.520004,192.886246,2915200
2019-05-06,196.529999,199.179993,195.940002,198.899994,194.233841,2371300
2019-05-07,197.960007,199.619995,196.729996,198.039993,193.394028,3072500
2019-05-08,197.710007,199.089996,196.750000,198.029999,193.384247,2040900
2019-05-09,197.119995,198.309998,196.410004,197.729996,193.091293,1923600
2019-05-10,197.059998,200.360001,197.020004,199.990005,195.298294,2668800
2019-05-13,198.000000,199.910004,197.279999,199.029999,194.360809,2809400
2019-05-14,198.830002,199.610001,197.639999,198.009995,193.364716,2787700
2019-05-15,197.660004,199.729996,197.500000,199.070007,194.399872,1899000
2019-05-16,199.360001,200.630005,198.889999,199.990005,195.298294,2520500
2019-05-17,198.860001,200.369995,198.800003,199.220001,194.546326,2239600
2019-05-20,199.220001,200.679993,198.279999,198.990005,194.321747,2217400
2019-05-21,200.889999,201.149994,199.070007,199.839996,195.151794,2264600
2019-05-22,199.520004,200.169998,198.500000,199.960007,195.268997,1760300
2019-05-23,198.809998,199.429993,198.100006,198.970001,194.302216,3560400
2019-05-24,199.869995,199.899994,197.330002,197.770004,193.130386,2105800
2019-05-28,198.279999,199.380005,196.380005,196.669998,192.056168,3675100
2019-05-29,195.850006,196.699997,194.850006,196.020004,191.421417,2925100
2019-05-30,196.009995,199.419998,195.779999,199.240005,194.565872,2685000
2019-05-31,197.410004,200.029999,197.250000,198.270004,194.752502,3669100
2019-06-03,198.360001,199.100006,197.320007,198.779999,195.253464,3211800
2019-06-04,199.000000,200.300003,198.789993,199.630005,196.088379,3829900
2019-06-05,200.080002,200.559998,199.250000,200.130005,196.579514,4294600
2019-06-06,200.119995,203.380005,200.029999,203.050003,199.447693,4657600
2019-06-07,203.500000,206.389999,203.500000,205.479996,201.834579,4345000
2019-06-10,206.100006,206.100006,199.740005,201.300003,197.728745,4647500
2019-06-11,202.300003,203.649994,201.389999,203.259995,199.653961,2991400
2019-06-12,204.490005,205.490005,203.699997,204.929993,201.294357,2874000
2019-06-13,205.199997,205.399994,203.660004,204.490005,200.862152,2277800
2019-06-14,204.000000,205.809998,203.779999,205.289993,201.647949,2715800
2019-06-17,205.750000,205.750000,203.089996,203.809998,200.194229,2694400
2019-06-18,205.000000,205.399994,203.919998,204.509995,200.881790,2470900
2019-06-19,204.619995,205.000000,202.610001,204.550003,200.921097,2328400
2019-06-20,205.000000,205.389999,204.100006,205.119995,201.480972,2162200
2019-06-21,205.580002,205.940002,203.979996,204.259995,200.636230,4267400
2019-06-24,204.750000,205.250000,203.630005,203.919998,200.302261,2486800
2019-06-25,204.800003,206.389999,204.720001,205.710007,202.060516,3020900
2019-06-26,205.490005,205.669998,204.009995,204.550003,200.921097,2576000
2019-06-27,204.669998,206.350006,204.199997,206.270004,202.610565,2253500
2019-06-28,206.899994,207.990005,206.320007,207.660004,203.975922,3658200
2019-07-01,208.860001,209.429993,206.190002,206.300003,202.640045,2689500
2019-07-02,206.750000,209.580002,206.320007,209.580002,205.861862,3120000
2019-07-03,209.820007,212.869995,209.699997,212.809998,209.034546,2306000
2019-07-05,212.300003,213.009995,210.250000,211.240005,207.492416,1876200
2019-07-08,211.240005,212.529999,211.229996,212.160004,208.396088,1818000
2019-07-09,211.990005,212.690002,211.470001,212.089996,208.327332,1618800
2019-07-10,212.250000,213.460007,211.949997,213.000000,209.221191,1842300
2019-07-11,214.470001,214.800003,211.610001,212.690002,208.916687,1922800
2019-07-12,212.690002,213.399994,211.270004,212.990005,209.211365,1960100
2019-07-15,213.630005,214.699997,212.690002,214.210007,210.409729,2408500
2019-07-16,213.529999,214.899994,212.149994,213.720001,209.928406,2380400
2019-07-17,213.979996,214.899994,213.360001,213.710007,209.918579,1698400
2019-07-18,214.080002,215.949997,213.330002,215.910004,212.079559,2261600
2019-07-19,215.580002,216.259995,213.800003,213.869995,210.075760,2860500
2019-07-22,213.789993,215.330002,212.520004,215.000000,211.185699,2580000
2019-07-23,215.740005,216.250000,212.639999,214.309998,210.507935,2503600
2019-07-24,213.839996,214.949997,212.270004,212.779999,209.005096,2971600
2019-07-25,212.360001,214.600006,212.309998,214.440002,210.635635,3789000
2019-07-26,217.949997,218.960007,214.490005,215.580002,211.755402,5029300
2019-07-29,216.000000,217.419998,214.300003,214.979996,211.166046,4278600
2019-07-30,214.289993,215.210007,211.580002,212.339996,208.572876,2808500
2019-07-31,212.080002,212.710007,209.369995,210.720001,206.981628,4048800
2019-08-01,211.179993,213.130005,210.110001,211.250000,207.502228,3231800
2019-08-02,211.300003,215.089996,210.889999,214.479996,210.674927,3517800
2019-08-05,213.639999,214.610001,209.429993,210.449997,206.716431,3685600
2019-08-06,210.500000,214.550003,209.880005,214.080002,210.282028,2970300
2019-08-07,213.259995,217.559998,211.339996,216.830002,212.983231,3767200
2019-08-08,217.309998,219.740005,216.169998,218.009995,214.142288,3724300
